2029,"Spices, parsley, dried",26.63,50.64,5.48,292.0
2030,"Spices, pepper, black",10.39,63.95,3.26,251.0
2031,"Spices, pepper, red or cayenne",12.01,56.63,17.27,318.0
2034,"Spices, poultry seasoning",9.59,65.59,7.53,307.0
2035,"Spices, pumpkin pie spice",5.76,69.28,12.6,342.0
2038,"Spices, sage, ground",10.63,60.73,12.75,315.0
2042,"Spices, thyme, dried",9.11,63.94,7.43,276.0
2043,"Spices, turmeric, ground",9.68,67.14,3.25,312.0
2044,"Basil, fresh",3.15,2.65,0.64,23.0
2046,"Mustard, prepared, yellow",4.25,5.3,3.38,61.0
2047,"Salt, table, iodized",0.0,0.0,0.0,0.0
2048,"Vinegar, cider",0.0,0.93,0.0,21.0
2052,"Vanilla extract, imitation, no alcohol",0.03,14.4,0.0,56.0
2053,"Vinegar, distilled",0.0,0.04,0.0,18.0
2054,"Capers, canned",2.36,4.89,0.86,23.0
2055,"Horseradish, prepared",1.18,11.29,0.69,48.0
3000,"Clif Z bar",5.55,74.72,9.72,416.0
3001,"Babyfood, juice treats, fruit medley, toddler",0.0,86.68,0.02,347.0
3002,"Babyfood, meat, beef, strained",12.03,2.43,2.52,81.0
3003,"Babyfood, meat, beef, junior",12.03,2.43,2.52,81.0
3005,"Babyfood, meat, veal, strained",13.12,1.51,2.45,81.0
3008,"Babyfood, meat, ham, strained",11.3,3.7,3.8,97.0
3010,"Babyfood, meat, lamb, strained",14.07,0.85,3.41,94.0
3012,"Babyfood, meat, chicken, strained",13.7,0.1,7.9,130.0
3013,"Babyfood, meat, chicken, junior",14.0,0.0,9.6,146.0
3014,"Babyfood, meat, chicken sticks, junior",14.6,1.5,14.4,188.0
3015,"Babyfood, meat, turkey, strained",11.5,1.4,6.2,111.0
3016,"Babyfood, meat, turkey, junior",11.5,1.4,6.2,111.0
3017,"Babyfood, meat, turkey sticks, junior",13.7,1.4,14.2,188.0
3019,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",0.82,76.61,2.24,330.0
3021,"Babyfood, meat, meat sticks, junior",13.4,1.1,14.6,184.0
3023,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",6.19,85.79,2.3,344.0
3024,"Babyfood, water, bottled, GERBER, without added fluoride",0.0,0.0,0.0,0.0
3026,"Babyfood, tropical fruit medley",0.31,12.22,0.14,46.0
3044,"Babyfood, dinner, macaroni and tomato and beef, strained",2.36,9.45,1.47,61.0
3045,"Babyfood, dinner, macaroni and tomato and beef, junior",2.5,9.4,1.1,59.0
3046,"Babyfood, ravioli, cheese filled, with tomato sauce",3.6,16.3,2.2,99.0
3047,"Babyfood, dinner, beef noodle, strained",2.44,8.18,2.26,63.0
3048,"Babyfood, macaroni and cheese, toddler",3.5,11.2,2.6,82.0
3050,"Babyfood, dinner, spaghetti and tomato and meat, junior",2.57,11.42,1.37,68.0
3052,"Babyfood, dinner, beef stew, toddler",5.1,5.5,1.2,51.0
3053,"Babyfood, dinner, vegetables and beef, strained",2.21,8.84,3.6,77.0
3054,"Babyfood, dinner, vegetables and beef, junior",2.21,8.84,3.6,77.0
3055,"Babyfood, dinner, beef with vegetables",2.03,6.36,6.93,96.0
3068,"Babyfood, dinner, chicken noodle, strained",3.53,7.81,3.22,74.0
3069,"Babyfood, dinner, chicken noodle, junior",3.53,7.8,3.23,74.0
3070,"Babyfood, dinner, chicken soup, strained",1.6,7.2,1.7,50.0
3072,"Babyfood, dinner, chicken stew, toddler",5.2,6.4,3.7,78.0
3073,"Babyfood, dinner, vegetables chicken, strained",2.47,8.42,1.73,59.0
3077,"Babyfood, dinner, pasta with vegetables",1.7,8.4,2.1,60.0
3082,"Babyfood, dinner, turkey and rice, strained",2.27,7.94,1.24,52.0
3083,"Babyfood, dinner, turkey and rice, junior",2.37,9.57,0.92,56.0
3084,"Babyfood, dinner, vegetables and turkey, strained",2.32,7.62,0.9,48.0
3085,"Babyfood, dinner, vegetables and turkey, junior",1.72,7.55,1.74,53.0
3089,"Babyfood, dinner, macaroni and cheese, strained",3.14,8.95,2.11,67.0
3090,"Babyfood, dinner, macaroni and cheese, junior",2.6,8.2,2.0,61.0
3091,"Babyfood, vegetables, green beans, strained",1.2,6.29,0.17,27.0
3092,"Babyfood, vegetables, green beans, junior",1.2,5.8,0.1,24.0
3093,"Babyfood, green beans, dices, toddler",1.2,5.7,0.2,29.0
3096,"Babyfood, vegetable, green beans and potatoes",2.2,9.0,1.9,62.0
3098,"Babyfood, vegetables, beets, strained",1.3,7.7,0.1,34.0
3099,"Babyfood, vegetables, carrots, strained",0.8,6.0,0.1,26.0
3100,"Babyfood, vegetables, carrots, junior",0.8,7.2,0.2,32.0
3104,"Babyfood, vegetables, squash, strained",0.81,5.73,0.2,28.0
3105,"Babyfood, vegetables, squash, junior",0.81,5.73,0.2,24.0
3108,"Babyfood, vegetables, sweet potatoes strained",1.1,13.2,0.1,57.0
3109,"Babyfood, vegetables, sweet potatoes, junior",1.1,14.0,0.1,60.0
3112,"Babyfood, potatoes, toddler",1.0,11.73,0.1,52.0
3114,"Babyfood, vegetable, butternut squash and corn",2.0,9.26,0.6,50.0
3115,"Babyfood, apples, dices, toddler",0.19,11.56,0.36,50.0
